x,y
-4.858932876586914062e+01,1.163357315063476562e+02
-4.863758236914873123e+01,1.168800471425056458e+02
-4.867512085661292076e+01,1.174714322686195374e+02
-4.876241238787770271e+01,1.180685568451881409e+02
-4.889672588184475899e+01,1.187264687418937683e+02
-4.901659638807177544e+01,1.194056810140609741e+02
-4.917906735464930534e+01,1.201083642840385437e+02
-4.940344594046473503e+01,1.208136342763900757e+02
-4.960620905086398125e+01,1.214954319000244141e+02
-4.986646283790469170e+01,1.221756981015205383e+02
-5.014648834988474846e+01,1.228466384410858154e+02
